09-11 14:43:40 [INFO] wechatbot_client | Current Env: prod
09-11 14:55:30 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '0be3907a-3da5-4316-a8b4-33ae50a3073a', 'time': 1694415330.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '7664943122206383352', 'message': [MessageSegment(type='mention', data={'user_id': 'wxid_vgtptv85y4rc22'}), MessageSegment(type='text', data={'text': '上手容易玩好难'})], 'alt_message': '@wxid_vgtptv85y4rc22 上手容易玩好难', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:55:41 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '5268d1b8-5b0a-4af7-8a07-55c3bbf9a8fb', 'time': 1694415341.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '6210010047117618785', 'message': [MessageSegment(type='text', data={'text': '如果是为了上分为了竞技'})], 'alt_message': '如果是为了上分为了竞技', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:55:47 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '218d7e2a-210b-4436-9be6-e6afc7bb181c', 'time': 1694415347.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '1755995360274970560', 'message': [MessageSegment(type='text', data={'text': '挫败感会很大'})], 'alt_message': '挫败感会很大', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:55:58 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '5a4475b6-baa6-4f6e-a87d-927b7406d724', 'time': 1694415358.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '3564302386404617636', 'message': [MessageSegment(type='text', data={'text': '比fps还大'})], 'alt_message': '比fps还大', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:56:01 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'e5c3cd53-d975-4c76-81b2-2dc61b9aeda4', 'time': 1694415361.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '3337892067950929288', 'message': [MessageSegment(type='reply', data={'message_id': '735134815185267326', 'user_id': '44043383416@chatroom'}), MessageSegment(type='text', data={'text': '啊很多'})], 'alt_message': '啊很多', 'user_id': 'wxid_y2gdcqleoyad22', 'group_id': '44043383416@chatroom'}
09-11 14:56:09 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': 'a3aaf940-2803-4a0b-bf5a-13f23f406c1b', 'time': 1694415369.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '6831186823527563820', 'message': [MessageSegment(type='text', data={'text': '很多专业都是大二搬校区的hhh'})], 'alt_message': '很多专业都是大二搬校区的hhh', 'user_id': 'wxid_y2gdcqleoyad22', 'group_id': '44043383416@chatroom'}
09-11 14:56:09 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '0b40164b-3042-4b91-a5f5-7a81f3bf6270', 'time': 1694415369.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '428734999794944693', 'message': [MessageSegment(type='wx.emoji', data={'file_id': '8304311e-9abe-4a73-88aa-afa42131922a'})], 'alt_message': '', 'user_id': 'wxid_vgtptv85y4rc22', 'group_id': '44043383416@chatroom'}
09-11 14:56:17 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '463bd1f7-1485-4ec0-8bd3-b34e2e6cd24a', 'time': 1694415377.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '2403258990500976405', 'message': [MessageSegment(type='text', data={'text': '草 我这种胜负心很强的感觉玩不了'})], 'alt_message': '草 我这种胜负心很强的感觉玩不了', 'user_id': 'wxid_vgtptv85y4rc22', 'group_id': '44043383416@chatroom'}
09-11 14:56:23 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '8199dec4-7427-435d-b4c6-5480e0766bc0', 'time': 1694415383.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '566223841602723141', 'message': [MessageSegment(type='text', data={'text': '现代模式对纯新手挺友好的'})], 'alt_message': '现代模式对纯新手挺友好的', 'user_id': 'lisongj398156529', 'group_id': '44043383416@chatroom'}
09-11 14:56:24 [SUCCESS] wechatbot_client | WeChat Manager | 生成事件[GroupMessageEvent]:{'id': '06156d5f-7607-4e3c-9148-906d63698c42', 'time': 1694415384.0, 'type': 'message', 'detail_type': 'group', 'sub_type': '', 'self': {'platform': 'wechat', 'user_id': 'wxid_n55yg50aengs12'}, 'message_id': '1117833348927794221', 'message': [MessageSegment(type='text', data={'text': '我高中同学大一到大二从珠海搬回广州了'})], 'alt_message': '我高中同学大一到大二从珠海搬回广州了', 'user_id': 'wxid_y2gdcqleoyad22', 'group_id': '44043383416@chatroom'}
